"","genera","Order","Family","Subfamily","col_label"
"108","Ectopria","Coleoptera","Psephenidae","","Coleoptera"
"109","Helisoma","Basommatophora","Planorbidae","","Basommatophora"
"110","Smittia","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"111","Ecclisomyia","Trichoptera","Limnephilidae","Dicosmoecinae","Trichoptera"
"112","Paraphaenocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"113","Heleniella","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"114","Potthastia","Diptera","Chironomidae","Diamesinae","Diptera, Chironomidae"
"115","Pteronarcella","Plecoptera","Pteronarcyidae","Pteronarcyinae","Plecoptera"
"116","Rheosmittia","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"117","Hesperoconopa","Diptera","Tipulidae","Limoniinae","Diptera, Non-chironomid"
"118","Despaxia","Plecoptera","Leuctridae","Leuctrinae","Plecoptera"
"119","Oreogeton","Diptera","Empididae","Empidinae","Diptera, Non-chironomid"
"120","Parakiefferiella","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"121","Parorthocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"122","Taenionema","Plecoptera","Taeniopterygidae","Brachypteryinae","Plecoptera"
"123","Ameletus","Ephemeroptera","Ameletidae","","Ephemeroptera"
"124","Chaetocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"125","Diamesa","Diptera","Chironomidae","Diamesinae","Diptera, Chironomidae"
"126","Parochlus","Diptera","Chironomidae","Podonominae","Diptera, Chironomidae"
"127","Syndiamesa","Diptera","Chironomidae","Diamesinae","Diptera, Chironomidae"
"128","Pedicia","Diptera","Tipulidae","Limoniinae","Diptera, Non-chironomid"
"129","Prodiamesa","Diptera","Chironomidae","Prodiamesinae","Diptera, Chironomidae"
"130","Valvata","Mesogastropoda","Valvatidae","","Mesogastropoda"
"131","Eucapnopsis","Plecoptera","Capniidae","Capniinae","Plecoptera"
"132","Isoperla","Plecoptera","Perlodidae","Isoperlinae","Plecoptera"
"133","Ecclisocosmoecus","Trichoptera","Limnephilidae","Dicosmoecinae","Trichoptera"
"134","Macropelopia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"135","Crambus","Lepidoptera","Crambidae","Crambinae","Lepidoptera"
"136","Onocosmoecus","Trichoptera","Limnephilidae","Dicosmoecinae","Trichoptera"
"137","Amphinemura","Plecoptera","Nemouridae","Amphinemurinae","Plecoptera"
